Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
mitmproxy,5126,2207,59,0,Python,0.9102484472049689
carbon,2449,646,215,-1,JavaScript,0.9090909090909091
clipboard.js,3085,117,42,0,JavaScript,0.9807383627608347
airflow,3244,19279,77,-1,Python,0.9156959981547688
gym,2864,999,19,-1,Python,0.9560133630289532
text-generation-webui,435,878,32,-1,Python,0.9224976466896768
nvm-windows,3449,93,20,-1,Go,0.9095354523227384
955.WLB,1799,18,0,0,N/A,0.3064516129032258
12306,2479,31,1,0,Python,0.6743849493487699
odoo,3579,6169,0,-1,Python,0.8554420776189087
devdocs,3780,672,0,0,Ruby,0.8661971830985915
shadowsocks,4332,70,2,0,Python,0
wtfjs,2421,124,25,-1,JavaScript,0.8888888888888888
formik,2451,816,194,0,TypeScript,0.6915846016114593
date-fns,3433,1044,117,0,TypeScript,0.7164429530201343
curl,5095,174,76,-1,C,0.9954001839926403
AFNetworking,4657,710,40,-1,Objective-C,0
brackets,4467,4333,69,0,JavaScript,0.7296850800206505
MockingBird,936,73,1,-1,Python,0.47398843930635837
ClickHouse,2828,34682,531,-1,C++,0.8258793569950661
gold-miner,3039,3563,0,0,N/A,0.9991053855788156
50projects50days,1200,42,0,0,CSS,0
aria2,4842,243,24,0,C++,0.44148641153632834
typeorm,2922,1968,32,0,TypeScript,0.71814282109513
vim-plug,3824,167,5,-1,Vim Script,0.884
gulp,3892,396,22,-1,JavaScript,0.986272439281943
AndroidUtilCode,2770,87,117,0,Java,0.8211068211068211
immutable-js,3529,500,77,0,TypeScript,0.9155844155844156
tesseract.js,3172,163,52,-1,JavaScript,0.96996996996997
XX-Net,3332,362,386,0,Python,0.40563762435936085
lazydocker,1748,170,39,-1,Go,0.6188811188811189
insomnia,2868,2369,414,-1,JavaScript,0.8173020527859237
awesome-javascript,3530,369,0,-1,N/A,0.9770114942528736
netty,4860,3335,0,0,Java,0.9105897273303741
metasploit-framework,4566,10420,0,-1,Ruby,0.9326955927570891
google-research,1974,29,0,0,Jupyter Notebook,0.2688638334778838
material-design-lite,3332,655,14,0,HTML,0.8308115543328748
tmux,3192,1,35,-1,C,0.9830821285758228
googletest,3138,797,7,-1,C++,0.8846153846153846
interview,2211,35,0,-1,C++,0.6451612903225806
ShadowsocksX-NG,2820,63,29,0,Swift,0.7760416666666666
jieba,4170,96,9,0,Python,0.26817640047675806
zxing,4523,285,31,0,Java,0.9967923015236567
carbon-lang,1402,2457,0,-1,C++,0.8101933216168717
ijkplayer,3923,35,0,0,C,0.4769259747598418
react-beautiful-dnd,2395,525,68,-1,JavaScript,0.6571790006325111
ImHex,1206,449,63,-1,C++,0.8029197080291971
FastChat,347,755,14,-1,Python,0.6272845953002611
novu,917,3128,35,-1,TypeScript,0.7946298984034833
compose,3734,2977,217,-1,Go,0.9750545256270448
trpc,1321,3028,199,-1,TypeScript,0.9186991869918699
pocketbase,604,47,123,-1,Go,0.97
Fooocus,204,325,3,-1,Python,0.8753159224936815
pandoc,5094,1527,131,-1,Haskell,0.861422708618331
photoprism,2224,574,65,-1,Go,0.7978357107722578
spring-boot-demo,2302,15,0,0,Java,0.4409937888198758
HanLP,3430,77,57,-1,Python,0.9935576234788833
vaultwarden,2202,730,55,-1,Rust,0.99466097170315
DeepSpeed,1498,2060,70,-1,Python,0.6441102756892231
marked,4603,1264,126,0,JavaScript,0.9860724233983287
tldraw,1026,1409,18,0,TypeScript,0.5309859154929577
LeetCode-Go,2417,173,4,0,Go,0.8108108108108109
android-open-project,3707,204,0,0,N/A,0.8658536585365854
TrafficMonitor,2405,43,24,0,C++,0.39094908862350725
REKCARC-TSC-UHT,1791,144,0,-1,HTML,0.9310344827586207
Awesome-Design-Tools,1843,283,0,-1,JavaScript,0.7352941176470589
cli,4387,393,45,-1,Python,0.8103651354534747
lapce,2214,953,28,-1,Rust,0.5997666277712952
gitness,3674,1012,36,-1,Go,0.9347711730668069
husky,3538,246,72,-1,JavaScript,0.9854620976116303
Files,1882,4648,110,-1,C#,0.9566587008472736
awesome-awesomeness,3523,197,0,-1,Ruby,0.7878787878787878
bevy,1503,2279,21,-1,Rust,0.6572231327557949
framework,4067,14631,690,-1,PHP,0.9994908350305499
jQuery-File-Upload,4838,119,0,-1,PHP,0.9851874244256348
appsmith,1339,10698,212,-1,TypeScript,0.7932883679787704
fd,2487,530,37,-1,Rust,0.8872549019607843
bark,328,19,0,-1,Jupyter Notebook,0.5758354755784062
JavaScript,2422,761,0,-1,JavaScript,0.9894736842105263
halo,2171,1730,158,-1,Java,0.901299504950495
graphql-engine,2082,2109,249,0,TypeScript,0.6526315789473685
beego,4383,1251,28,0,Go,0.9978851963746224
certbot,3396,3732,50,-1,Python,0.9578107183580388
run,690,172,0,0,N/A,0.8617886178861789
ccxt,2482,10052,1,-1,Python,0.9180773249738767
solid,2137,333,34,-1,TypeScript,0.9315673289183223
htmx,1417,659,17,-1,JavaScript,0.6411870503597122
easyexcel,2214,165,9,-1,Java,0.8680811808118081
fiber,1505,1350,116,0,Go,0.945468509984639
streamlit,1650,3503,73,-1,Python,0.8141480730223124
awesome-shell,3524,307,0,-1,N/A,0.375
Blog,2544,3,0,0,N/A,0.31210191082802546
NeteaseCloudMusicApi,2808,292,0,-1,N/A,0.8914670658682635
slidev,1041,357,300,-1,TypeScript,0.9647201946472019
ray,2683,21154,79,0,Python,0.8145967166309779
fastify,2710,2601,278,-1,JavaScript,0.9654255319148937
awesome-php,3747,411,0,0,N/A,0.9923664122137404
sqlmap,4265,160,9,-1,Python,0.9898318341806804
rxjs,3273,2584,2,0,TypeScript,0.9324195090851132
p3c,2442,62,0,0,Kotlin,0.8229043683589138
Coursera-ML-AndrewNg-Notes,2308,13,0,0,HTML,0.23529411764705882
libpku,1925,22,0,0,TeX,0.7560975609756098
vimrc,4293,107,0,-1,Vim Script,0.9980314960629921
HEAD,2871,86,0,0,N/A,0.7849462365591398
spring-boot-examples,2672,7,0,-1,Java,0.9339622641509434
nanoGPT,428,42,0,-1,Python,0.33458646616541354
vue-cli,2986,1258,177,0,JavaScript,0.8306260266471984
chatgpt-web,385,153,43,0,Vue,0.9940968122786304
dotfiles,4560,44,0,0,Shell,0.6398963730569949
swc,2260,4398,398,0,Rust,0.9046577055329791
foundation-sites,4521,2950,78,0,HTML,0.9917184265010351
yew,2266,1672,35,-1,MDX,0.9102141680395387
html2canvas,4611,186,45,0,TypeScript,0.647682639434407
lottie-web,3296,128,0,-1,JavaScript,0.7497337593184239
chinese-independent-developer,2352,181,0,-1,N/A,0.967391304347826
openpose,2502,172,15,0,C++,0.8531684698608965
daisyui,1187,253,21,-1,Svelte,0.9591002044989775
modern-unix,1143,10,0,0,N/A,0.19230769230769232
phantomjs,4812,562,0,0,C++,0.9970495258166491
vault,3291,16834,130,-1,Go,0.832541567695962
learnGitBranching,4216,552,0,0,JavaScript,0.9458874458874459
react-boilerplate,3298,715,16,0,JavaScript,0.9589473684210527
localsend,440,343,16,-1,Dart,0.5222929936305732
termux-app,3051,141,89,-1,Java,0.8791732909379968
30-Days-Of-Python,1563,42,0,-1,Python,0.6907216494845361
Python,4474,1374,0,-1,Python,0.336
linux-insides,3344,572,0,-1,Python,0.8435754189944135
nushell,1756,5826,86,-1,Rust,0.7580840743734842
es6features,3650,41,0,0,N/A,0.631578947368421
Summer2024-Internships,1377,1667,0,-1,N/A,0.9977194982896237
COVID-19,1485,2152,0,-1,N/A,0.553072625698324
project-guidelines,2435,113,0,0,JavaScript,0.7631578947368421
zod,1454,390,79,-1,TypeScript,0.8251173708920188
symfony,5169,21786,483,-1,PHP,0.9716683621566633
zig,3129,7136,15,-1,Zig,0.7364302694136292
zsh-autosuggestions,3778,112,0,-1,Shell,0.7766143106457243
leakcanary,3227,891,35,-1,Kotlin,0.9489795918367347
v2rayNG,1751,179,166,-1,Kotlin,0.9372631578947368
swr,1585,744,111,-1,TypeScript,0.9164733178654292
awesome-compose,1477,147,0,-1,HTML,0.33962264150943394
Hover,3710,23,10,0,SCSS,0.7757009345794392
AgentGPT,328,537,12,0,TypeScript,0.7477477477477478
sequelize,4970,4634,472,-1,JavaScript,0.9204023830452193
selenium,4062,1825,91,0,Java,0.9883088087079218
pytorch-image-models,1853,313,55,0,Python,0.9156769596199525
500lines,3769,175,0,-1,JavaScript,0.5571428571428572
How-To-Ask-Questions-The-Smart-Way,3260,97,0,-1,JavaScript,0.7241379310344828
standard,3320,412,5,0,JavaScript,0.9127243066884176
fairseq,2375,226,16,0,Python,0.7390986601705237
webtorrent,3789,836,163,-1,JavaScript,0.9551681195516812
pytorch-tutorial,2547,28,0,-1,Python,0.6312849162011173
poetry,2192,1925,131,0,Python,0.8912261776339446
slate,2812,1803,165,0,TypeScript,0.8016181229773462
jellyfin,1908,3733,66,-1,C#,0.922587679447574
logseq,1377,2864,145,-1,Clojure,0.7962001093493712
cockroach,3675,52858,0,-1,Go,0.9227862220520419
nps,1943,74,59,-1,Go,0.6027753686036427
llama_index,484,3441,260,-1,Python,0.8490566037735849
C-Plus-Plus,2784,594,0,-1,C++,0.9680851063829787
apollo,2918,1363,39,0,Java,0.9594551789673741
layui,3082,391,117,0,JavaScript,0.9740082079343365
nacos,2085,2617,61,0,Java,0.9715687507862624
HowToLiveLonger,684,13,0,-1,N/A,0.808
quivr,292,1043,214,0,TypeScript,0.9279700654817586
engineering-blogs,3183,681,0,-1,Ruby,0.8222222222222222
calculator,1858,821,0,-1,C++,0.6908358509566969
helix,1368,3138,24,-1,Rust,0.7846914865920334
jq,4243,506,13,-1,C,0.8361188486536676
interactive-coding-challenges,3229,176,0,-1,Python,0.4696969696969697
AnotherRedisDesktopManager,1878,136,47,0,JavaScript,0.761129207383279
whisper.cpp,522,430,13,-1,C,0.5414201183431953
programmer-job-blacklist,2805,28,0,0,Shell,0.5479041916167665
todomvc,4654,753,6,-1,JavaScript,0.8475452196382429
stanford_alpaca,355,6,0,-1,Python,0.366412213740458
Sortable,3724,245,26,0,JavaScript,0.7538549400342661
lede,2367,1875,6,0,C,0.9197124756335283
swift-algorithm-club,2956,608,0,0,Swift,0.8551401869158879
spaCy,3528,3531,122,0,Python,0.985431654676259
vuex,3150,655,51,-1,JavaScript,0.9253968253968254
android_guides,3907,10,0,0,N/A,0.5778364116094987
awesome-macos-command-line,3082,104,0,-1,N/A,0
portainer,2842,4238,111,-1,TypeScript,0.9168207024029574
slick,3629,238,48,0,JavaScript,0.6656458797327395
spacedrive,885,1444,10,-1,TypeScript,0.85
particles.js,3463,21,6,0,JavaScript,0.26054590570719605
detectron2,1638,0,10,0,Python,0.8866550116550117
jsoncrack.com,760,72,20,-1,TypeScript,0.813953488372093
algo,2846,523,2,0,Jinja,0.8979074191502854
composer,4649,2763,193,0,PHP,0.982565050851935
jsPDF,5198,700,32,-1,JavaScript,0.9452837893017558
postcss,3809,720,247,0,TypeScript,0.9802083333333333
minikube,2875,7387,145,-1,Go,0.9042145593869731
backbone,4900,878,0,0,JavaScript,0.9841995841995842
RSSHub,2159,7697,0,-1,JavaScript,0.9432937864468128
floating-ui,2893,947,401,-1,TypeScript,0.9968602825745683
leetcode,1992,2153,19,-1,Java,1.0
async,5021,503,7,0,JavaScript,0.9946428571428572
hutool,3609,393,139,0,Java,0.9992283950617284
echo,3287,552,103,-1,Go,0.9633357296908699
AI-Expert-Roadmap,1222,13,0,-1,JavaScript,0.7301587301587301
OpenAPI-Specification,3650,857,10,0,JavaScript,0.8316326530612245
linkedin-skill-assessments-quizzes,1692,5572,1,-1,N/A,0.8997722095671982
system-design,563,11,0,-1,N/A,0.8888888888888888
uppy,3027,2519,76,-1,TypeScript,0.9430408819476344
AFFiNE,578,3361,230,-1,TypeScript,0.8265963678968952
expo,2754,11828,0,-1,TypeScript,0.9688454489920586
awesome-docker,3448,897,1,-1,N/A,1.0
ChatGPT,453,294,277,-1,Python,0.9864532019704434
awesome-python-cn,3040,51,0,0,Makefile,0.6206896551724138
NewPipe,3100,1506,128,-1,Java,0.8627520339582596
serenity,1915,17300,0,-1,C++,0.8243141203121067
AI-For-Beginners,1093,101,0,-1,Jupyter Notebook,0.7368421052631579
mattermost,3181,15408,490,-1,TypeScript,0.9208884452208634
lighthouse,2914,5086,107,0,JavaScript,0.9337146702557201
awesome-remote-job,3345,549,0,-1,N/A,0.7884615384615384
consul,3768,12735,165,-1,Go,0.7890303257207039
machine-learning-for-software-engineers,2699,58,0,0,N/A,0.375
druid,4501,1212,49,0,Java,0.4873145045476304
sharp,3846,273,81,-1,JavaScript,0.9692350332594235
SpringAll,2129,1,0,0,Java,0.574468085106383
cal.com,1074,6201,228,-1,TypeScript,0.8830938442433919
cheerio,4526,2061,57,0,TypeScript,0.9755671902268761
canal,4064,437,29,0,Java,0.7758145938503901
linux-command,2665,304,26,-1,Markdown,0.6589595375722543
influxdb,3808,9681,81,-1,Rust,0.858886346300534
python-guide,4734,681,0,-1,Batchfile,0.6410256410256411
etcher,3047,1705,267,0,TypeScript,0.828169014084507
remote-jobs,3061,1192,0,-1,JavaScript,0.8869047619047619
TTS,1380,467,98,-1,Python,0.9421906693711968
Charts,3268,418,38,-1,Swift,0.8001898433792122
underscore,5240,742,0,0,JavaScript,0.9788583509513742
Daily-Interview-Question,1867,15,0,-1,JavaScript,0.533213644524237
django-rest-framework,4747,2907,17,-1,Python,0.9800362976406534
react-spring,2185,402,48,-1,TypeScript,0.9238410596026491
mmdetection,2017,2358,53,0,Python,0.8396560445118867
go-zero,1301,1822,101,0,Go,0.7491616364855801
pnpm,2954,1984,908,-1,TypeScript,0.642802155504234
react-select,3474,1040,54,-1,TypeScript,0.9128959276018099
faiss,2578,135,15,0,C++,0.8217088055797733
JCSprout,2265,69,0,0,Java,0.6629213483146067
waifu2x,3210,68,3,-1,Lua,0.5802816901408451
mobx,3274,1089,96,0,TypeScript,0.9802597402597403
ComfyUI,408,325,1,-1,Python,0.34478935698447893
fabric.js,5012,2099,137,-1,JavaScript,0.943678747660371
weui,3360,195,44,0,Less,0.9260935143288085
legacy-homebrew,5398,222,0,0,N/A,1.0
spring-cloud-alibaba,2281,942,38,0,Java,0.8444347063978965
v2ray-core,1781,737,77,0,Go,0.9486887115165337
rocksdb,4108,601,184,0,C++,0.810378590078329
css-protips,3106,66,0,-1,N/A,0.9830508474576272
ShareX,3795,734,76,0,C#,0.9174103521012494
yapi,2831,141,1,-1,JavaScript,0.37644628099173555
kafka,4581,7855,0,-1,Java,0
GitHubDaily,1887,3,0,-1,N/A,0.43005181347150256
nginxconfig.io,2246,180,0,0,JavaScript,0.7860262008733624
zed,1104,3749,423,-1,Rust,0.6391854978892476
jax,1953,8556,97,-1,Python,0.7477840451248993
weekly,2537,134,189,0,JavaScript,0.9972375690607734
tqdm,3193,279,125,-1,Python,0.6002076843198338
ControlNet,393,5,0,0,Python,0.25201612903225806
folly,4290,5,176,-1,C++,0.671559633027523
Faker,4520,823,12,0,PHP,0.8666666666666667
remix,1221,2991,135,-1,TypeScript,0.92
vhr,2247,1,0,-1,Java,0.3784860557768924
gradio,1898,2967,352,-1,Python,0.8816067653276956
ResumeSample,3461,2,0,0,N/A,0
hangzhou_house_knowledge,2196,6,0,0,CSS,0.3287671232876712
immer,2253,350,106,0,JavaScript,0.9511811023622048
Ryujinx,2215,2798,0,-1,C#,0.7585083272990587
typst,1618,834,13,-1,Rust,0.6872586872586872
handson-ml2,1878,64,0,0,Jupyter Notebook,0.5916334661354582
angular-cli,3192,9554,683,-1,TypeScript,0.9826092750533049
reverse-interview,1635,71,0,-1,N/A,0.68
Awesome,2831,206,0,-1,N/A,0.5857142857142857
immich,756,2834,170,-1,TypeScript,0.8642573821066549
codemirror5,4794,589,171,-1,JavaScript,0.9032798659324874
gitflow,5152,36,0,0,Shell,0.3490304709141274
JavaScript30,2640,151,0,-1,HTML,0
mongoose,5077,2830,123,-1,JavaScript,0.9766037735849057
rethinkdb,4139,460,72,0,C++,0.7900015671524839
Clone-Wars,1184,121,0,0,N/A,0.8933333333333333
alpine,1554,603,122,-1,HTML,1.0
pytorch-lightning,1796,8502,150,0,Python,0.9068185179707144
the-super-tiny-compiler,2911,20,0,-1,JavaScript,0
rufus,4485,1,79,-1,C,0.9959183673469387
ace,4873,1736,68,-1,JavaScript,0.9634387351778656
YesPlayMusic,1238,264,27,-1,Vue,0.6894031668696712
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4063,243,0,0,Jupyter Notebook,0.36885245901639346
docsify,2657,633,14,-1,JavaScript,0.826580226904376
data-science-ipython-notebooks,3324,31,0,0,Python,0.5641025641025641
os-tutorial,3440,11,0,0,C,0.5906432748538012
xxl-job,3015,98,32,-1,Java,0.6030769230769231
gitbook,3622,214,0,0,JavaScript,0
Detectron,2338,0,0,0,Python,0.6691891891891892
editor.js,3015,781,68,-1,TypeScript,0.6177745664739884
CheatSheetSeries,1896,817,0,-1,Python,0.9
python-fire,2564,76,9,-1,Python,0.6032786885245902
ToolJet,1066,4135,165,-1,JavaScript,0.8506849315068493
miaosha,1994,20,0,0,Java,1.0
k3s,2100,3065,696,-1,Go,0.9750378214826021
kit,3313,478,13,-1,Go,0.9357142857142857
Complete-Python-3-Bootcamp,2208,12,0,0,Jupyter Notebook,0.6355421686746988
croc,2326,169,148,-1,Go,0.7587822014051522
nodemon,4897,303,93,-1,JavaScript,0.9950890116635973
commander.js,4582,706,78,0,JavaScript,0.9895038167938931
numpy,4916,11073,109,-1,Python,0.8444335217498157
aseprite,3480,237,100,-1,C++,0.5920617420066152
xstate,3090,1779,330,0,TypeScript,0.9552590266875981
nprogress,3845,34,7,-1,JavaScript,0.33766233766233766
fetch,3426,196,56,0,JavaScript,0.9953775038520801
penpot,2983,2463,36,0,Clojure,0.749211356466877
react-virtualized,3040,453,5,0,JavaScript,0.6239460370994941
dokku,3918,3313,266,0,Shell,0.9920121719284899
select2,4379,708,29,0,JavaScript,0.981206932553769
helm,3068,3557,186,0,Go,0.9592730167153091
Data-Science-For-Beginners,1093,293,0,-1,Jupyter Notebook,0.8482142857142857
backstage,1496,14337,307,-1,TypeScript,0.9136389575803691
applied-ml,1335,207,0,-1,N/A,0.9166666666666666
milvus,1627,16543,363,-1,Go,0.9453719253185815
vagrant,5152,2669,120,-1,Ruby,0.9319792658415318
OpenBBTerminal,1166,3483,30,-1,Python,0.8736318407960199
request,4785,650,0,0,JavaScript,0.9564068692206077
Modernizr,5270,805,25,0,JavaScript,0.8869448183041723
fastjson,4501,418,84,0,Java,0.47009502515371715
butterknife,4013,346,0,0,Java,0.9165261382799326
the_silver_searcher,4485,399,0,0,C,0.4886499402628435
netron,4813,1,2,-1,JavaScript,0.9732569245463228
ink,2453,201,50,-1,TypeScript,0.8640483383685801
servo,4404,15713,0,-1,N/A,0.7349387688008547
cmder,3887,420,33,-1,C++,0.983957219251337
hacker-laws,2226,174,1,0,Shell,0.3448275862068966
Python-programming-exercises,4277,0,0,-1,N/A,0.1643835616438356
fastText,2784,12,4,0,HTML,0.5667903525046383
MonitorControl,2357,202,24,-1,Swift,0.9719298245614035
react-three-fiber,1830,560,91,-1,TypeScript,0.9555084745762712
memos,813,1256,60,-1,Go,0.9456598447424136
aos,3157,38,0,-1,JavaScript,0.5249266862170088
xgboost,3675,4032,56,0,C++,0.9295691520755459
RevokeMsgPatcher,1684,8,17,-1,C#,0.9247863247863248
mpv,4156,2246,84,-1,C,0.9080278128950695
viper,3620,388,27,0,Go,0.5392857142857143
fastai,2364,1673,51,-1,Jupyter Notebook,0.8934611048478016
90DaysOfDevOps,795,337,2,-1,Shell,0.9146341463414634
Real-ESRGAN,955,20,10,-1,Python,0.27058823529411763
maybe,58,195,0,-1,Ruby,0.9871794871794872
swagger-ui,4611,2910,318,0,JavaScript,0.8055138784696174
fonts,4089,72,1,0,Shell,0.38461538461538464
YouCompleteMe,4336,776,0,0,Python,0.996268656716418
GPTs,110,36,0,-1,N/A,0.7619047619047619
plyr,3302,382,88,0,JavaScript,0.5890077821011673
mongo,5523,125,0,-1,C++,0
coder2gwy,1156,2,0,0,N/A,0.19047619047619047
awesome-electron,3234,266,0,-1,N/A,0.9767441860465116
server,2828,21396,202,0,PHP,0.8735177865612648
darknet,3611,10,0,0,C,0.23544411389715258
toBeTopJavaer,1953,52,0,0,Java,0.5590551181102362
handson-ml,2935,56,0,0,Jupyter Notebook,0.775
Depix,1180,14,0,0,Python,0
dnSpy,3165,53,1,-1,C#,0
Mr.-Ranedeer-AI-Tutor,335,19,3,-1,N/A,0.7674418604651163
modern-js-cheatsheet,2355,83,0,0,N/A,0.8235294117647058
awesome-deep-learning-papers,2827,39,0,0,TeX,0.4230769230769231
quasar,3069,3546,846,-1,JavaScript,0.9402847350382283
proxyee-down,2318,16,49,-1,Java,0
ngx-admin,2836,343,19,-1,TypeScript,0.7627800114876507
emscripten,4765,10306,0,0,C++,0.8172686230248307
mediapipe,1722,152,52,0,C++,0.9468783068783069
hosts,4340,457,627,-1,Python,0.9624591947769314
directus,4096,6654,289,-1,TypeScript,0.9425272444213804
generative-ai-for-beginners,255,182,0,-1,Jupyter Notebook,0.8947368421052632
ItChat,2963,29,13,0,Python,0.7006802721088435
chatbot-ui,355,246,0,-1,TypeScript,0.9575
incubator-seata,1889,2038,39,0,Java,0.8021152240467576
lottie-ios,2701,685,65,0,Swift,0.9902767389678384
trilium,2473,246,293,-1,JavaScript,0.7091503267973857
nylas-mail,3423,139,53,0,JavaScript,0.7136177673874927
SDWebImage,5274,915,143,0,Objective-C,0.9697898423817863
llm-course,256,1,0,-1,Jupyter Notebook,0.4857142857142857
iris,2952,389,20,0,Go,0.8953846153846153
Signal-Android,4459,238,0,-1,Java,0.9705521472392638
Web,2613,0,0,0,N/A,0.7801047120418848
redash,3776,3057,98,0,Python,0.7774113767518549
stb,3567,280,0,0,C,0.8360655737704918
surrealdb,812,851,26,-1,Rust,0.6188077246011755
comprehensive-rust,435,1372,0,-1,Rust,0.5829787234042553
SmartRefreshLayout,2463,12,12,0,Java,0.7927868852459017
eShopOnContainers,2702,538,11,0,C#,0.9633173843700159
fe-interview,1779,8,2,-1,JavaScript,0.0044060627423334504
discord.js,3125,4327,212,-1,TypeScript,0.9798709677419355
polars,1387,7354,130,-1,Rust,0.799850411368736
MiniGPT-4,319,19,0,0,Python,0.2793427230046948
spleeter,1617,49,2,-1,Python,0.7371879106438897
rollup,3212,1844,453,0,JavaScript,0.8460820895522388
EventBus,4245,31,7,0,Java,0.8275862068965517
firecracker,2324,2496,69,-1,Rust,0.935672514619883
vapor,2963,1178,528,0,Swift,0.9502762430939227
devise,5279,774,19,0,Ruby,0.9635887672536887
react-admin,2787,4426,331,-1,TypeScript,0.9799635701275046
PhotoSwipe,4711,83,22,-1,JavaScript,0.6651884700665188
core-js,3879,251,238,-1,JavaScript,0.9665226781857451
micro,2911,616,35,-1,Go,0.6352996254681648
HEU_KMS_Activator,1712,0,33,-1,N/A,0.140625
awesome-piracy,1968,182,0,0,HTML,0.9967741935483871
awesome-actions,1961,439,0,-1,N/A,0.65
envoy,2761,17893,150,0,C++,0.8577167414050823
flutter-go,1878,158,4,-1,Dart,0
NativeScript,3287,3147,147,0,TypeScript,0.8717948717948718
gitlabhq,4533,2227,0,-1,Ruby,0
docz,2175,365,127,0,TypeScript,0.913322632423756
ramda,3905,1300,28,-1,JavaScript,0.9186189889025894
UTM,1784,214,109,-1,Swift,0.75
Telegram,3779,20,88,-1,Java,0
spacemacs,4091,1793,158,-1,Emacs Lisp,0.9739263803680982
algorithms,2659,433,1,0,Python,0.6329113924050633
pkg,2761,176,41,0,JavaScript,1.0
go,3851,48,0,0,N/A,0.9019607843137255
awesome-swift,3521,1425,0,-1,Ruby,1.0
apollo,2431,9712,12,0,C++,0.8370457209847597
roop,277,82,6,-1,Python,0
RxSwift,3250,780,72,0,Swift,0.9748987854251012
Langchain-Chatchat,335,403,29,-1,Python,0.9760132340777502
30-Days-Of-React,1248,10,0,0,JavaScript,0.2463768115942029
localForage,3773,268,26,-1,JavaScript,0.702513966480447
components,2978,11546,444,0,TypeScript,0.8732853456471547
tdesktop,3590,1420,681,-1,C++,0.9419646161818047
tokio,2728,3118,114,0,Rust,0.8765837634913186
eslint,3896,5898,314,0,JavaScript,0.9916816997394268
iTerm2-Color-Schemes,4717,294,0,-1,Shell,0.7961165048543689
iview,2772,526,85,-1,Vue,0.8006442376521117
awesome-vscode,2943,243,0,-1,JavaScript,0.5306122448979592
BaseRecyclerViewAdapterHelper,2881,191,209,0,Kotlin,0.8962795941375423
tools,1470,2821,117,0,Rust,0.940236275191105
mdb-ui-kit,3482,193,34,0,SCSS,0.9907016060862215
Mask_RCNN,2324,65,3,0,Python,0.31096442977631095
cascadia-code,1694,71,17,-1,Python,0.8016949152542373
DeepSpeech,2828,1338,105,-1,C++,0.9447881960970966
docker_practice,3464,260,15,0,Go,0.976303317535545
angular-styleguide,3502,331,0,0,N/A,0.8537735849056604
Rectangle,1714,221,80,0,Swift,0.8131487889273357
autocomplete,1248,1430,1000,-1,TypeScript,0.7265625
idiomatic.js,4663,114,0,-1,N/A,0.5853658536585366
hammer.js,4381,114,0,0,JavaScript,0.7301435406698564
logrus,3788,404,19,-1,Go,0.9941434846266471
openssl,4061,128,24,0,C,0.7956748695003728
Hystrix,4119,677,79,-1,Java,0.6614936954413191
srs,3228,407,60,-1,C++,0.8686502177068215
Wox,3724,293,39,0,Go,0.9543234702671646
coc.nvim,2129,753,82,-1,TypeScript,0.9914738124238733
WeChatMsg,414,60,19,-1,Python,0.8193979933110368
Vundle.vim,4882,89,0,-1,Vim Script,0.7698744769874477
ngrok,3998,34,0,0,Go,0.7258823529411764
openzeppelin-contracts,2768,2058,88,0,JavaScript,0.902358749314317
headlessui,1261,458,96,-1,TypeScript,0.9765976597659766
go-patterns,2998,10,0,0,Go,0.43333333333333335
setup-ipsec-vpn,2975,43,0,0,Shell,1.0
table,2688,792,228,0,TypeScript,0.9296075085324232
firecracker,2324,2496,69,-1,Rust,0.935672514619883
vapor,2963,1178,528,0,Swift,0.9502762430939227
devise,5279,774,19,0,Ruby,0.9635887672536887
react-admin,2787,4426,331,-1,TypeScript,0.9799635701275046
PhotoSwipe,4711,83,22,-1,JavaScript,0.6651884700665188
core-js,3879,251,238,-1,JavaScript,0.9665226781857451
micro,2911,616,35,-1,Go,0.6352996254681648
HEU_KMS_Activator,1712,0,33,-1,N/A,0.140625
awesome-piracy,1968,182,0,0,HTML,0.9967741935483871
mantine,1148,1143,214,-1,TypeScript,0.991566799822459
awesome-actions,1961,439,0,-1,N/A,0.65
envoy,2761,17893,150,0,C++,0.8577167414050823
flutter-go,1878,158,4,-1,Dart,0
NativeScript,3287,3147,147,0,TypeScript,0.8717948717948718
gitlabhq,4533,2227,0,-1,Ruby,0
docz,2175,365,127,0,TypeScript,0.913322632423756
ramda,3905,1300,28,-1,JavaScript,0.9186189889025894
UTM,1784,214,109,-1,Swift,0.75
Telegram,3779,20,88,-1,Java,0
spacemacs,4091,1793,158,-1,Emacs Lisp,0.9739263803680982
algorithms,2659,433,1,0,Python,0.6329113924050633
paper-reading,860,11,0,-1,N/A,0
javascript-testing-best-practices,1701,146,0,0,JavaScript,0.234375
awesome-sysadmin,3671,183,0,0,N/A,0.2857142857142857
pure,3965,374,27,0,JavaScript,0.9878892733564014
outline,2839,2044,126,-1,TypeScript,0.9675118858954042
wttr.in,2987,271,0,-1,Python,0.5513428120063191
lux,2196,280,84,-1,Go,0.5279187817258884
locust,4760,765,109,-1,Python,0.9923126201153107
architecture-components-samples,2487,216,0,0,Kotlin,0.7797101449275362
react-redux,3155,539,130,0,TypeScript,0.9817605075337034
