Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
moby,4059,19487,159,0,Go,0.8664551872040032
netdata,3909,7997,78,-1,C,0.9736534717715769
Front-End-Checklist,2327,173,1,-1,N/A,0.993103448275862
yt-dlp,1221,1885,78,-1,Python,0.8157934932029938
elasticsearch,5134,61753,138,0,Java,0.8798301980054081
node,393,84,27,-1,Shell,0.9693877551020408
reveal.js,4650,396,46,-1,JavaScript,0.7041648776298841
flask,5077,1543,33,0,Python,0.9988479262672811
Microsoft-Activation-Scripts,1508,3,14,-1,Batchfile,0.9734848484848485
mermaid,3406,1957,119,-1,JavaScript,0.690589527645551
swift,3051,46950,51,-1,C++,0.5701694452036076
awesome-interview-questions,3015,175,0,-1,N/A,0.543859649122807
ML-For-Beginners,1093,354,0,-1,HTML,0
code-server,1828,1420,140,-1,TypeScript,0.9080153800650695
hello-algo,482,662,7,-1,Java,0.9069767441860465
stable-diffusion,568,5,0,-1,Jupyter Notebook,0.2735294117647059
webpack,4373,4533,410,0,JavaScript,0.9844166495796596
vite,1409,4124,395,-1,TypeScript,0.9437852269356274
cs-video-courses,2687,138,0,-1,N/A,1.0
redis,5457,3671,65,-1,C,0.6898724208536777
supabase,1601,7837,10,-1,TypeScript,0.9483418367346939
github-readme-stats,1330,1076,0,-1,JavaScript,0.9139878366637706
express,5361,275,148,-1,JavaScript,0.9649723465894127
nest,2581,6011,93,-1,TypeScript,0.9909283922022776
Chart.js,4000,2932,108,-1,JavaScript,0.9519886363636364
protobuf,3474,4896,151,-1,C++,0.9047300685274946
awesome-machine-learning,3516,819,0,-1,Python,1.0
ChatGPT-Next-Web,356,539,57,-1,TypeScript,0.9404965753424658
devops-exercises,1610,261,0,-1,Python,0.717948717948718
awesome-for-beginners,3050,335,0,-1,N/A,0.815068493150685
funNLP,2018,14,0,-1,Python,0.6811594202898551
gpt4all,339,440,10,-1,C++,0.7417027417027418
33-js-concepts,2004,236,0,-1,JavaScript,0.7901234567901234
interviews,2571,42,0,-1,Java,0.4230769230769231
resume.github.com,4771,84,0,0,JavaScript,0.5221238938053098
awesome-react,3494,775,0,-1,N/A,0.9611650485436893
the-algorithm,339,2,0,-1,Scala,0.7318681318681318
keras,3260,3222,59,-1,Python,0.9849293833964864
ansible,4377,37707,65,-1,Python,0.983253290089191
redux,3197,1659,78,0,TypeScript,0.9808165272995573
rustdesk,1249,2335,13,-1,Rust,0.9827518620148962
atom,4423,3937,538,-1,JavaScript,0.9437919953257377
socket.io,5103,425,61,-1,TypeScript,0.9713366481427318
playwright,1567,12005,120,-1,TypeScript,0.9438941279023695
grafana,3732,39881,408,-1,TypeScript,0.894310349799579
markdown-here,4309,20,11,0,JavaScript,0.5049180327868853
HowToCook,1461,480,1,-1,Shell,0.4342948717948718
hoppscotch,1653,1352,37,0,TypeScript,0.7888563049853372
strapi,3074,7628,328,-1,TypeScript,0.9436268960833145
architect-awesome,2155,49,0,0,N/A,0.3142857142857143
angular.js,5167,789,0,-1,JavaScript,0.9567430025445293
nocode,2213,1,1,-1,Dockerfile,0.14105079572705473
javascript-questions,1723,324,0,0,N/A,0.9739130434782609
jquery,5445,686,9,-1,JavaScript,0.9691170073945193
Front-end-Developer-Interview-Questions,4402,470,0,0,Nunjucks,0.7931034482758621
cpython,2575,40393,0,-1,Python,0.8962585800327431
lodash,4345,577,2,-1,JavaScript,0.9907561033420241
v2rayN,1675,125,167,-1,C#,0.9947955390334573
echarts,3984,1268,114,0,TypeScript,0.8764953664700926
syncthing,3747,2480,362,-1,Go,0.9388327721661055
fzf,3781,434,36,-1,Go,0.8846153846153846
shadowsocks-windows,4063,278,55,-1,C#,0.9446940891807812
scikit-learn,4944,11740,39,-1,Python,0.8467493703945528
awesome-public-datasets,3388,188,1,0,N/A,0.415929203539823
superset,3145,12022,187,-1,TypeScript,0.928464232116058
tesseract,3488,1338,28,-1,C++,0.847944142746315
whisper,531,95,10,-1,Python,0
Ventoy,1451,261,95,-1,C,0.7027417027417028
manim,3266,564,10,-1,Python,0.6491862567811935
Apollo-11,3619,324,0,-1,Assembly,0.8381962864721485
Java,2784,1187,0,-1,Java,0.9887410440122825
html5-boilerplate,5149,737,33,-1,JavaScript,0.994740796393689
PayloadsAllTheThings,2690,508,2,0,Python,0
Best-websites-a-programmer-should-visit,2552,399,0,-1,N/A,0.6071428571428571
design-resources-for-developers,1394,883,0,-1,N/A,1.0
system-design-101,164,21,0,-1,N/A,0.275
awesome-nodejs,3520,405,0,-1,N/A,0.9900990099009901
gatsby,3205,18066,134,-1,JavaScript,0.9884450784593438
sway,1136,2682,126,-1,Rust,0.7583429228998849
spring-framework,4831,822,282,0,Java,0.9885011257639112
rails,5802,22945,114,-1,Ruby,0.9717025257249766
d2l-zh,2381,1020,16,-1,Python,0
obs-studio,3803,4423,195,-1,C,0.8786206896551724
imgui,3510,335,94,-1,C++,0.8504758418740849
openai-cookbook,720,452,0,-1,MDX,0.9071207430340558
awesome-cpp,3514,667,0,-1,N/A,0.4010507880910683
tabby,2624,1443,181,-1,TypeScript,0.6371848739495798
gpt4free,337,448,79,-1,Python,0.9240374609781478
element,2735,3229,145,-1,Vue,0.862590661831369
leetcode,2162,256,40,0,JavaScript,0.9642857142857143
awesome-courses,3393,194,0,-1,N/A,0.52
DeepLearning-500-questions,2073,302,0,-1,JavaScript,0.43243243243243246
caddy,3334,1790,112,-1,Go,0.9692101740294511
SecLists,4393,559,23,-1,PHP,0.91701244813278
gpt_academic,346,136,27,-1,Python,0.8545176110260337
awesome-scalability,2255,32,0,-1,N/A,0
llama.cpp,356,1898,1000,-1,C++,0.5616438356164384
prometheus,4114,5834,288,-1,Go,0.8571953010279001
react-router,3575,2056,268,-1,TypeScript,0.9935607617481846
alacritty,2933,1737,91,-1,Rust,0.9449106165632981
docusaurus,2445,4954,137,-1,TypeScript,0.910089224433768
normalize.css,4684,56,0,-1,CSS,0.9110671936758893
localstack,2682,4542,73,-1,Python,0.9429285165257494
face_recognition,2553,94,2,-1,Python,0.4444444444444444
requests,4764,1532,8,0,Python,0.9481825212683681
Semantic-UI,3978,356,154,0,JavaScript,0.8447444551591128
nuxt,2682,4376,212,-1,TypeScript,0.9330958318489491
awesome-flutter,2489,420,0,0,Dart,0
llama,380,45,0,-1,Python,0.6697459584295612
ui,421,290,16,-1,TypeScript,0.646640826873385
scrapy,5120,2089,37,-1,Python,0.8541168431841476
ionic-framework,3844,5451,848,-1,TypeScript,0.9832472427753735
